Crop Name,Category,Yield Unit,Yield Value,Square Feet,Succession Recommendation,Source Used,Flags,Verification Score,Confidence
Fig,Fruit Trees,lbs,60,196,1,Inline agronomic note only,Missing source; Weak source; Estimated value; Needs verification,35,Unverified
Goumi,Food Forest Plants,fruit,10,9,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Grain Amaranth,Grains,clusters,0.4,1,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Grape (Food Forest Vine),Food Forest Plants,lbs,15,12,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Guava,Tropical Fruits,fruit,60,100,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Hops,Vines,clusters,1,9,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Horseradish,Perennial Vegetables,lbs,2,2,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Jerusalem Artichoke,Perennial Vegetables,lbs,3,2,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Kale,Vegetables,lbs,2,2,2,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Lavender,Medicinals,bunches,0.5,3,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Lettuce,Vegetables,heads,0.75,1,4,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Loquat (Food Forest),Food Forest Plants,fruit,60,144,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Luffa,Experimental Crops,fruit,15,16,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Mango,Tropical Fruits,fruit,150,225,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Mint,Herbs,bunches,0.75,1,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Okra,Vegetables,lbs,4,2,2,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Oregano,Herbs,bunches,0.5,1,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Oregano (Food Forest),Food Forest Plants,bunches,0.5,1,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Papaya,Tropical Fruits,fruit,50,25,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Parsley,Herbs,bunches,0.4,1,2,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Pea,Vegetables,lbs,0.25,0.11,2,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Peach,Fruit Trees,lbs,80,144,1,Inline agronomic note only,Missing source; Weak source; Estimated value; Needs verification,35,Unverified
Pomegranate,Fruit Trees,lbs,40,100,1,Inline agronomic note only,Missing source; Weak source; Estimated value; Needs verification,35,Unverified
Potato,Vegetables,lbs,5,1.5,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Raspberry,Berries,lbs,3,4,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Rhubarb,Perennial Vegetables,lbs,4,9,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Sorghum Sudan,Cover Crops,bunches,Area-based,0.25,1,No explicit source citation in crops.ts,Missing source; Estimated value; Needs verification,35,Unverified
Strawberry,Berries,lbs,1,1,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Sweet Potato,Vegetables,lbs,3,3,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Thyme,Herbs,bunches,0.3,1,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Walnut,Nut Trees,lbs,80,400,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Yarrow,Medicinals,flowers,0.25,1,1,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Zucchini,Vegetables,lbs,12,6,2,No explicit source citation in crops.ts,Missing source; Needs verification,35,Unverified
Lemon,Subtropical Fruits,fruit,80,144,1,Inline agronomic note only,Missing source; Weak source; Estimated value; Needs verification,30,Unverified
Rare Fruit Trial Planting,Experimental Crops,fruit,20,100,1,No explicit source citation in crops.ts,Missing source; Estimated value; Needs verification,30,Unverified
Rosemary,Herbs,bunches,1,4,1,No explicit source citation in crops.ts,Missing source; Estimated value; Needs verification,30,Unverified
Sorghum,Grains,clusters,0.5,1,1,No explicit source citation in crops.ts,Missing source; Estimated value; Needs verification,30,Unverified
Sunflower,Flowers,flowers,1,1.5,4,Inline agronomic note only,Missing source; Weak source; Estimated value; Needs verification,30,Unverified
Borage,Flowers,flowers,0,1.5,2,No explicit source citation in crops.ts,Missing source; Needs verification,28,Unverified
Calendula,Flowers,flowers,0,1,3,No explicit source citation in crops.ts,Missing source; Needs verification,28,Unverified
Nasturtium,Flowers,flowers,0,1.5,2,No explicit source citation in crops.ts,Missing source; Needs verification,28,Unverified
Zinnia,Flowers,flowers,0,1,3,No explicit source citation in crops.ts,Missing source; Needs verification,28,Unverified
Broccoli,Vegetables,lbs,1.5,2.25,2,Inline agronomic note only,Missing source; Weak source; Estimated value; Needs verification,25,Unverified
Pole Bean,Vegetables,lbs,1.2,0.5,2,Inline agronomic note only,Missing source; Weak source; Estimated value; Needs verification,25,Unverified
Tomato,Vegetables,lbs,12,4,1,Inline agronomic note only,Missing source; Weak source; Estimated value; Needs verification,25,Unverified
Watermelon,Vegetables,lbs,15,24,1,Inline agronomic note only,Missing source; Weak source; Estimated value; Needs verification,25,Unverified
